"Abbreviation","Meaning"
"si op. sit","if needed (from Latin si opus sit)"
"SIRS","systemic inflammatory response syndrome"
"SIT","stress inoculation training (see posttraumatic stress disorder)"
"SJS","Stevens–Johnson syndrome"
"SK","streptokinase"
"sl","sublingual"
"SLE","systemic lupus erythematosus"
"SLEV","St Louis virus"
"SLL","small lymphocytic lymphoma"
"SLN","sublingual nitroglycerin"
"SLNSLNB","sentinel lymph node biopsy"
"SLP","speech-language pathologist"
"SLR","straight leg raise (see Lasègue's sign)"
"SM","multiple sclerosis (from Latin sclerosis multiplex)  submucosal  Skeletal Muscle"
"SMA","sequential multiple analysis superior mesenteric artery  spinal muscle atrophy"
"SMA-6","six-channel serum multiple analysis"
"SMA-7","serum metabolic assay"
"SMN","statement of medical necessity"
"SMS","senior medical student"
"SMT","spinal manipulative therapy"
"SMV","superior mesenteric vein"
"SN","student nurse ;   skilled nursing"
"SNB","sentinel node biopsy (ductal carcinoma)"
"SNF","skilled nursing facility"
"SNP","sodium nitroprusside; single nucleotide polymorphism"
"SNRI","serotonin–norepinephrine reuptake inhibitor"
"SNV","sin nombre virus (the most common type of hantavirus)"
"SO","salpingo-oophoritis"
"SOA","swelling of ankles"
"SOAP","subjective, objective, assessment, plan (how physicians’ notes may be organized)"
"SOB","shortness of breath (see dyspnea)"
"SOBOE","shortness of breath on exertion"
"SOL","space-occupying lesion"
"Sol","solution"
"SOOB","send out of bed  sitting out of bed"
"SOP","sterile ophthalmic preparation"
"SOS","if needed (from Latin si opus sit)"
"SP  s/p","status post; condition after"""
"SPE","streptococcal pyrogenic exotoxin"
"Spec","specimen"
"SPECT","single-photon emission computed tomography"
"SPEP","serum protein electrophoresis"
"SPET","single-photon emission tomography"
"spp.","species, as in bacterial species (e.g. Enterobacteriaceae spp.)"
"Sp. fl.","spinal fluid (see cerebrospinal fluid)"
"Sp. gr.","specific gravity"
"SPS","single point (walking) stick"
"SQ  sq","subcutaneous"
"SR","slow release (see also time release technology (medicine))Sinus rhythm"
"SROM","spontaneous rupture of membranes"
"SRS","stereotactic radiotherapy sex reassignment surgery"
"SRU","shock resuscitation unit"
"SS","hemoglobin SS (HbSS) (see in sickle-cell disease = SS disease)  subserosal  Sjogren's Syndrome"
"S/S  S/Sx","signs and symptoms"
"SSC","secondary sex characteristics"
"SSE","sterile speculum exam"
"SSEP","somatosensory evoked potential"
"SSI","sliding scale insulin"
"SSKI","potassium iodide solution"
"SSPE","subacute sclerosing panencephalitis"
"ssRNA","single-stranded RNA"
"SSRI","selective serotonin reuptake inhibitor"
"SSSI","skin and skin structure infection (also referred to as acute bacterial skin and skin structure infection - ABSSSI)"
"SSSS","staphylococcal scalded skin syndrome"
"SSS","sick sinus syndrome"
"ST","sore throat   speech therapy"
"Staph.","Staphylococcus"
"STD","sexually transmitted disease"
"stat","immediately (from Latin statim)"
"STEC","Shiga toxin–producing Escherichia coli (another name for enterohemorrhagic E. coli)"
"STEMI","ST elevation myocardial infarction"
"STH","somatotropic hormone"
"STI","sexually transmitted infection soft tissue injury"
"STN","Subthalamic nucleus soft tissue neck"
"STNR","Symmetrical tonic neck reflex"
"STOP","surgical termination of pregnancy (sometimes suction termination of pregnancy)"
"Strep.  Strepto.","Streptococcus"
"STS","serological test for syphilis  soft tissue sarcoma"
"Subq","subcutaneous"
"SUI","stress urinary incontinence"
"Supp","suppository"
"SUV","standardized uptake value"
"SV","seminal vesicle stroke volume"
"SVC","superior vena cava"
"SVD","spontaneous vaginal delivery  simple vertex delivery"
"SVE","sterile vaginal examination"
"SVG","Saphenous vein graft"
"SVI","systemic viral infection"
"SVN","small volume nebulizer"
"SVR","systemic vascular resistance"
"SVT","supraventricular tachycardia"
"SW","Sturge–Weber syndrome"
"Sx","symptoms"
"SXA","single-energy X-ray absorptiometer"
"SXR","skull x-ray"
"Sz","seizure"
"T","thoracic vertebrae"
"Tx","Treatment"
"TA","temporal arteritis"
"T&A","tonsillectomy with adenoidectomy"
"T&C","type and cross-match (see blood transfusion)"
"T&S","type and screen (blood; e.g., to prepare for blood transfusion)"
"Tab","Tablet (pharmacy)"
"TAB","therapeutic abortion"
"TAH","total abdominal hysterectomy"
"TAH-BSO","total abdominal hysterectomy with bilateral salpingo-oophorectomy"
"TAP","trypsinogen activation peptide"
"TAPVR","total anomalous pulmonary venous return"
"TAT","thematic apperception test"
"TAVI","transcatheter aortic valve implantation"
"TAVR","transcatheter aortic valve replacement"
"TB","tuberculosis"
"TBC","tuberculosis  total body crunch"
"TbEC","Enteric coated tablet"
"TBG","thyroid-binding globulin"
"TBI","to be intubated total body irradiation traumatic brain injury"
"TBLC","term birth living child"
"TC","traffic crash"
"TCA","tricyclic antidepressants"
"TCC","transitional cell carcinoma"
"TCM","traditional Chinese medicine"
"TCN","tetracycline"
"TCOM","Transcutaneous oxygen measurement"
"TCT","thrombin clotting time"
"T2DM","type 2 Diabetes mellitus"
"Td","tetanus and diphtheria (combined vaccination)"
"TDaP","tetanus, diphtheria, and acellular pertussis combined vaccine"
"TdP","Torsades de pointes"
"TDS","three times a day (from Latin ter die sumendus)"
"TdT","terminal deoxynucleotidyl transferase"
"TD","Tardive dyskinesia"
"TE","tracheoesophageal"
"TEB","thoracic electrical bioimpedance (see impedance cardiography)"
"TEC","transient erythroblastopenia of childhood"
"TEE","transesophageal echocardiogram"
"TEF","tracheoesophageal fistula"
"TEM","transmission electron microscopy"
"Temp","temperature"
"TEN","toxic epidermal necrolysis"
"TENS","transcutaneous electrical nerve stimulator"
"TF","transfer"
"T/F","transfer"
"TFR","tumor volume to fetal weight ratio"
"TFTs","thyroid function tests"
"TGA","transposition of the great arteries"
"TG","triglycerides"
"Tg","thyroglobulin"
"TGF","tumor growth factor"
"TGV","transposition of the great vessels"
"T&H","type and hold (stay ready for blood transfusion)"
"THR","total hip replacement"
"TI","terminal ileum"
"TIA","transient ischemic attack"
"TIBC","total iron-binding capacity"
"Tib-Fib","tibia and fibula"
"TID","three times a day (from Latin ter in die)"
"TIN","tubulointerstitial nephritis"
"TIPS","transjugular intrahepatic portosystemic shunt"
"TKA","total knee arthoplasty"
"TKO","to keep (vein) open for IV therapy"
"TKR","total knee replacement"
"TKVO","to keep vein open"
"TLA","three letter acronym"
"TLC","total lung capacity, or total lymphocyte count"
"TLH","total laparoscopic hysterectomy"
"TLR","tonic labyrinthine reflex"
"TM","tympanic membrane"
"TME","total mesorectal excision"
"TNF","tumor necrosis factor"
"TMJ","temporomandibular joint"
"TNG","trinitroglycerin"
"TNM","tumor-nodes-metastases"
"TNTC","too numerous to count"
"TOA","tuboovarian abscess"
"TOC","test-of-cure (+TOC meaning patient cured of disease proven via test)"
"TOD","transoesophageal Doppler"
"TOE","transoesophageal echocardiogram"
"TOF","tetralogy of Fallot"
"TOP","termination of pregnancy"
"TOT","transobturator tape"
"TP","total protein"
"TPa","tissue plasminogen activator"
"TPN","total parenteral nutrition"
"TPR","temperature, pulse, respiration"
"TPR","total peripheral resistance"
"TR","tricuspid regurgitation"
"Tr","tincture"
"TRAM","transverse rectus abdominis myocutaneous flap (TRAM flap)"
"TRAP","tartrate-resistant acid phosphatase"
"TRF","transfer (pronounced ""turf"")"
"TRF'd","transferred (pronounced ""turfed"", as in ""We just turfed Mrs Johnson OTD"")"
"TRH","thyrotropin-releasing hormone"
"TRT","testosterone replacement therapy"
"TRUSP","Transrectal Ultrasonography of the ProstateTransrectal Ultrasound of the Prostate"
"TS","tricuspid stenosis"
"Tsp","teaspoon (5 mL)"
"TSH","thyroid stimulating hormone"
"TSH","Thoughts of self-harm"
"TSHR-Ab","thyrotropin-receptor antibody"
"TSI","Thyroid Stimulating Immunoglobulin"
"T.S.T.H.","too sick to send home"
"TT","thrombin time"
"TTE","transthoracic echocardiogram"
"TTG","tissue transglutaminase"
"TTN","transient tachypnea of the newborn"
"TTO","to take out (medicines given to patient on discharge from hospital stay)"
"TTP","thrombotic thrombocytopenic purpura  tender to palpation"
"TTR","transthyretin"
"TTS","transdermal therapeutic system"
"TTTS","twin-to-twin transfusion syndrome"
"Tu","tumor"
"TUBA","Trans-umbilical breast augmentation"
"TUIP","Transurethral incision of the prostate"
"TUMT","Transurethral microwave thermotherapy"
"TUNA","Transurethral needle ablation of the prostate"
"TUR","transurethral resection"
"TURBT","transurethral resection of bladder tumor"
"TURP","transurethral resection of the prostate"
"TVC","true vocal cord"
"TVH","transvaginal hysterectomy"
"TVT","tension-free vaginal tape"
"TWOC","Trial without catheter"
"Tx","therapy transplant  treatment"
"TXA","Tranexamic acid"
"Txp","transport (by ambulance to or between hospitals)"
"UOSM","urine osmolality"
"UA","urinalysis  unstable angina"
"U/A","upon arrival"
"UPO","until proven otherwise"
"USA","unstable angina"
"UAE","Uterine Artery Embolization (synonym for Uterine Fibroid Embolization)"
"UBT","urea breath test"
"UC","ulcerative colitis uterine contraction"
"UCHD","usual childhood diseases (see list of childhood diseases)"
"UCTD","Undifferentiated connective tissue disease"
"UCx","Urine culture"
"UD","as directed (from Latin ut dictum)"
"UDS","urine drug screening  Undifferentiated sarcoma"
"UE","upper extremity"
"U&E","urea and electrolytes (blood test) (for sodium and potassium, and often creatinine)"
"UFE","Uterine Fibroid Embolization"
"UIP","usual interstitial pneumonitis"
"UGI","upper gastrointestinal"
"ULN","upper limit of normal"
"UNOS","United Network for Organ Sharing"
"UOP, UO, U/O","urinary output"
"Ung","ointment (from Latin unguentum)"
"Unk","unknown"
"UPJ","ureteropelvic junction (see pyeloplasty)"
"URA","unilateral renal agenesis"
"URI","upper respiratory infection"
"URS","Ureteroscopy"
"URTI","upper respiratory tract infection"
"US","ultrasonogram"
"USG","ultrasonogram"
"USO","unilateral salpingo-oophorectomy"
"USOH","usual state of health"
"USP","United States Pharmacopeia"
"USR","unheated serum reagin"
"USS","ultrasound scan"
"UTI","urinary tract infection"
"UUS","upper uterine segment"
"UVAL","ultraviolet argon laser"
"V","ventilation"
"VA","visual acuity"
"VAC","vincristine, actinomycin D, and cyclophosphamide (chemotherapy regimen)"
"VAD","ventricular assist device vincristine, adriblastine, dexamethasone"
"Vag","vaginal"
"VAI","cincristine, actinomycin D, and ifosfamide (chemotherapy regimen)"
"VAMP","vesicle-associated membrane protein vincristine, adriblastine, methylprednisone"
"VAS","vibroacoustic stimulation visual analog scale"
"VBG","venous blood gases"
"VBAC","vaginal birth after caesarean"
"VC","vital capacity"
"VCTC","voluntary counselling and testing centers (for HIV—government centres in India)"
"vCJD","variant Creutzfeldt–Jakob disease"
"VCUG","voiding cystourethrogram"
"VD","vaginal delivery  venereal disease (outdated name for sexually transmitted disease) volume of distribution"
"VDRF","ventilator-dependent respiratory failure"
"VDRL","Venereal Diseases Research Laboratory (old test for syphilis)"
"VE","vaginal examination (manual examination)"
"VEB","ventricular ectopic beat"
"VED","Vacuum Erection Device"
"VEE","Venezuelan equine encephalitis"
"VF  V-fib","ventricular fibrillation"
"VFSS","videofluoroscopic swallow study"
"VH","visual hallucinations  vaginal hysterectomy"
"VHL","Von Hippel–Lindau disease"
"VIN","vulvar intraepithelial neoplasia"
"VIR","Vascular Interventional Radiology"
"VIP","vasoactive intestinal peptide"
"VLDL","very-low-density lipoprotein"
"VMA","vanillylmandelic acid  violent mechanical asphyxia"
"VNPI","Van Nuys prognostic scoring index (for ductal carcinoma)"
"VO","verbal order"
"VOC","vaso-occlusive crisis"
"VOD","volume of distribution"
"VPA","valproic acid"
"VPAP","variable positive airway pressure"
"VPB","ventricular premature beats (see premature ventricular contraction)"
"VPC (PVC)","ventricular premature contraction"
"VPI","Velopharyngeal insufficiency"
"V/Q","ventilation/perfusion scan"
"VRE","vancomycin-resistant enterococcus"
"VRSA","vancomycin-resistant Staphylococcus aureus"
"VS","vital signs versus"
"VSD","ventricular septal defect"
"VSR","ventricular septal rupture (see myocardial rupture)"
"VSS","vital signs stable"
"VT","ventricular tachycardia  verotoxin"
"VTE","venous thromboembolism"
"VTEC","verotoxin-producing Escherichia coli, also known as enterohaemorrhagic E. coli"
"VUR","vesicoureteral reflux"
"VWD","ventral wall defect  Von Willebrand disease"
"VWF","Von Willebrand factor"
"VZIG","varicella zoster immune globulin"
"VZV","varicella zoster virus"
"WAIS-R","Wechsler adult intelligence scale revised"
"WAP","wandering atrial pacemaker (see multifocal atrial tachycardia)"
"WAS","Wiskott–Aldrich syndrome"
"WASP","Wiskott–Aldrich syndrome protein"
"WAT","white adipose tissue"
"WBAT","weight bearing as tolerated"
"WBC","white blood cell white blood cell count"
"WBI","whole bowel irrigation"
"WBRT","whole-brain radiotherapy treatment"
"WC","white cells or wheelchair or (surprisingly still used) water closet (bathroom)"
"W/C","wheelchair"
"WD","well developed"
"WDL","within defined limits (as per hospital defined policy)"
"WH","well hydrated (not dehydrated or hyperhydrated)"
"WDWN","well developed and well nourished"
"WEE","Western equine encephalitis virus"
"WG","Wegener's granulomatosis (now known as granulomatosis with polyangiitis)"
"WISC-R","Wechsler intelligence scale for children revised"
"WLE","Wide local excision"
"WM","white matter"
"WMA","wall motion abnormality (heart condition)"
"WN","well nourished"
"WNL","within normal limits (also: we never looked)"
"W/O  w/o","without"
"WOB","Work Of Breathing (as in ""normal WOB"")"
"WOI","without incident"
"WPW","Wolff–Parkinson–White syndrome"
"WS","Waardenburg syndrome Warkany syndrome water-soluble Werner syndrome West syndrome Williams syndrome Wolfram syndrome"
"wt","weight (whether human weight or otherwise)"
"w/u","Workup"
"WWI","walking while intoxicated (ethanol or other drugs)"
"x","(x with macron) except"
"X-AFP","extended alpha-fetoprotein"
"XR","extended release (see time release technology) x-ray (see radiography)"
"XRT","radiotherapy used in cancer treatment"
"y","year or years"
"YO  yo  y/o","years old"
"YPLL","years of potential life lost"
"YST","yolk sac tumor"
"yr","year or years"
"ZD","zinc deficiency"
"ZDV","zidovudine"
"ZES","Zollinger–Ellison syndrome"
"ZIFT","zygote intrafallopian transfer"
"ZMC","Zygomatico-Maxillary Complex"
"Zn","zinc"
